000,100*, , , , , , , 
000,1001, , , , , , , 
000,1002, , , , , , , 
000,1003, , , , , , , 
000,1004, , , , , , , 
000,200*, , , , , , , 
000,2001, , , , , , , 
000,2002, , , , , , , 
000,2003, , , , , , , 
000,2004, , , , , , , 
000,B, , , , , , , 
000,EURO, ,EUR,Y, , ,X,X
000,EURX, ,EUR,Y, , , ,X
000,G, , , , , , , 
000,I, , , , , , , 
000,M, , , , , , , 
000,P, , , , , , , 
001,100*, , , , , , , 
001,1001, , , , , , , 
001,1002, , , , , , , 
001,1003, , , , , , , 
001,1004, , , , , , , 
001,200*, , , , , , , 
001,2001, , , , , , , 
001,2002, , , , , , , 
001,2003, , , , , , , 
001,2004, , , , , , , 
001,B, , , , , , , 
001,EURO, ,EUR,Y, , ,X,X
001,EURX, ,EUR,Y, , , ,X
001,G, , , , , , , 
001,I, , , , , , , 
001,M, , , , , , , 
001,P, , , , , , , 
